# 1 Minute Academy topics catalog
# Generated: 2026-01-01T00:00:01.000Z
# Site: http://localhost:5173
# Format: TSV
id	title	description	url	subject	subcategory	is_free	updatedAt
ai--ai-and-creativity--t-ai-screenwriting-and-storytelling-tools	AI Screenwriting and Storytelling Tools	A 1-minute de-risking session on AI Screenwriting and Storytelling Tools.	http://localhost:5173/topic/ai--ai-and-creativity--t-ai-screenwriting-and-storytelling-tools	AI & Agents	AI and Creativity	pro	2026-01-01T00:00:01.000Z
ai--ai-and-creativity--t-ai-that-writes-stories	AI That Writes Stories	A tiny lesson with a big payoff: AI That Writes Stories.	http://localhost:5173/topic/ai--ai-and-creativity--t-ai-that-writes-stories	AI & Agents	AI and Creativity	free	2026-01-01T00:00:01.000Z
ai--ai-and-creativity--t-ai-video-generation	AI Video Generation	A fast breakdown of AI Video Generation for builders.	http://localhost:5173/topic/ai--ai-and-creativity--t-ai-video-generation	AI & Agents	AI and Creativity	pro	2026-01-01T00:00:01.000Z
ai--ai-and-creativity--t-ai-voice-acting-characters-that-never-existed	AI Voice Acting: Characters That Never Existed	A fast breakdown of AI Voice Acting: Characters That Never Existed for builders.	http://localhost:5173/topic/ai--ai-and-creativity--t-ai-voice-acting-characters-that-never-existed	AI & Agents	AI and Creativity	pro	2026-01-01T00:00:01.000Z
ai--ai-and-creativity--t-creativity-in-the-age-of-abundance	Creativity in the Age of Abundance	A 1-minute de-risking session on Creativity in the Age of Abundance.	http://localhost:5173/topic/ai--ai-and-creativity--t-creativity-in-the-age-of-abundance	AI & Agents	AI and Creativity	pro	2026-01-01T00:00:01.000Z
ai--ai-and-creativity--t-how-ai-composes-music	How AI Composes Music	A tiny lesson with a big payoff: How AI Composes Music.	http://localhost:5173/topic/ai--ai-and-creativity--t-how-ai-composes-music	AI & Agents	AI and Creativity	free	2026-01-01T00:00:01.000Z
ai--ai-and-creativity--t-how-diffusion-models-create-images	How Diffusion Models Create Images	A fast breakdown of How Diffusion Models Create Images for builders.	http://localhost:5173/topic/ai--ai-and-creativity--t-how-diffusion-models-create-images	AI & Agents	AI and Creativity	free	2026-01-01T00:00:01.000Z
ai--ai-and-creativity--t-human-ai-creative-partnerships	Human-AI Creative Partnerships	A micro-lesson that makes Human-AI Creative Partnerships usable.	http://localhost:5173/topic/ai--ai-and-creativity--t-human-ai-creative-partnerships	AI & Agents	AI and Creativity	free	2026-01-01T00:00:01.000Z
ai--ai-and-creativity--t-procedural-generation-in-games	Procedural Generation in Games	A 1-minute de-risking session on Procedural Generation in Games.	http://localhost:5173/topic/ai--ai-and-creativity--t-procedural-generation-in-games	AI & Agents	AI and Creativity	pro	2026-01-01T00:00:01.000Z
ai--ai-and-creativity--t-style-transfer-painting-like-the-masters	Style Transfer: Painting Like the Masters	A micro-lesson that makes Style Transfer: Painting Like the Masters usable.	http://localhost:5173/topic/ai--ai-and-creativity--t-style-transfer-painting-like-the-masters	AI & Agents	AI and Creativity	pro	2026-01-01T00:00:01.000Z
ai--ai-and-creativity--t-the-audience-test-does-it-move-you	The Audience Test: Does It Move You?	One-minute skill: The Audience Test: Does It Move You?.	http://localhost:5173/topic/ai--ai-and-creativity--t-the-audience-test-does-it-move-you	AI & Agents	AI and Creativity	pro	2026-01-01T00:00:01.000Z
ai--ai-and-creativity--t-the-chinese-room-and-creative-understanding	The Chinese Room and Creative Understanding	A 60-second lesson on The Chinese Room and Creative Understanding.	http://localhost:5173/topic/ai--ai-and-creativity--t-the-chinese-room-and-creative-understanding	AI & Agents	AI and Creativity	pro	2026-01-01T00:00:01.000Z
ai--ai-and-creativity--t-the-copyright-controversy	The Copyright Controversy	A micro-lesson that makes The Copyright Controversy usable.	http://localhost:5173/topic/ai--ai-and-creativity--t-the-copyright-controversy	AI & Agents	AI and Creativity	pro	2026-01-01T00:00:01.000Z
ai--ai-and-creativity--t-the-lovelace-objection	The Lovelace Objection	Learn The Lovelace Objection in one minute.	http://localhost:5173/topic/ai--ai-and-creativity--t-the-lovelace-objection	AI & Agents	AI and Creativity	pro	2026-01-01T00:00:01.000Z
ai--ai-and-creativity--t-the-remix-culture-ai-as-collaborator	The Remix Culture: AI as Collaborator	Learn The Remix Culture: AI as Collaborator in one minute.	http://localhost:5173/topic/ai--ai-and-creativity--t-the-remix-culture-ai-as-collaborator	AI & Agents	AI and Creativity	pro	2026-01-01T00:00:01.000Z
ai--ai-and-creativity--t-the-sampling-debate-revisited	The Sampling Debate Revisited	One-minute skill: The Sampling Debate Revisited.	http://localhost:5173/topic/ai--ai-and-creativity--t-the-sampling-debate-revisited	AI & Agents	AI and Creativity	pro	2026-01-01T00:00:01.000Z
ai--ai-and-creativity--t-the-value-of-imperfection	The Value of Imperfection	A quick win: understand The Value of Imperfection.	http://localhost:5173/topic/ai--ai-and-creativity--t-the-value-of-imperfection	AI & Agents	AI and Creativity	pro	2026-01-01T00:00:01.000Z
ai--ai-and-creativity--t-what-is-creativity-really	What Is Creativity, Really?	A micro-lesson that makes What Is Creativity, Really? usable.	http://localhost:5173/topic/ai--ai-and-creativity--t-what-is-creativity-really	AI & Agents	AI and Creativity	free	2026-01-01T00:00:01.000Z
ai--ai-and-creativity--t-when-ai-surprises-its-creators	When AI Surprises Its Creators	One-minute skill: When AI Surprises Its Creators.	http://localhost:5173/topic/ai--ai-and-creativity--t-when-ai-surprises-its-creators	AI & Agents	AI and Creativity	pro	2026-01-01T00:00:01.000Z
ai--ai-and-creativity--t-will-ai-make-creativity-more-accessible	Will AI Make Creativity More Accessible?	A quick, practical guide to Will AI Make Creativity More Accessible?.	http://localhost:5173/topic/ai--ai-and-creativity--t-will-ai-make-creativity-more-accessible	AI & Agents	AI and Creativity	pro	2026-01-01T00:00:01.000Z
ai--ai-ethics-and-society--t-ai-and-democracy-bots-in-the-ballot-box	AI and Democracy: Bots in the Ballot Box	One-minute skill: AI and Democracy: Bots in the Ballot Box.	http://localhost:5173/topic/ai--ai-ethics-and-society--t-ai-and-democracy-bots-in-the-ballot-box	AI & Agents	AI Ethics and Society	pro	2026-01-01T00:00:01.000Z
ai--ai-ethics-and-society--t-ai-and-misinformation-at-scale	AI and Misinformation at Scale	A 1-minute de-risking session on AI and Misinformation at Scale.	http://localhost:5173/topic/ai--ai-ethics-and-society--t-ai-and-misinformation-at-scale	AI & Agents	AI Ethics and Society	pro	2026-01-01T00:00:01.000Z
ai--ai-ethics-and-society--t-ai-and-the-right-to-be-forgotten	AI and the Right to Be Forgotten	Learn AI and the Right to Be Forgotten in one minute.	http://localhost:5173/topic/ai--ai-ethics-and-society--t-ai-and-the-right-to-be-forgotten	AI & Agents	AI Ethics and Society	pro	2026-01-01T00:00:01.000Z
ai--ai-ethics-and-society--t-ai-and-the-skills-gap	AI and the Skills Gap	One-minute skill: AI and the Skills Gap.	http://localhost:5173/topic/ai--ai-ethics-and-society--t-ai-and-the-skills-gap	AI & Agents	AI Ethics and Society	pro	2026-01-01T00:00:01.000Z
ai--ai-ethics-and-society--t-ai-in-criminal-justice	AI in Criminal Justice	One-minute skill: AI in Criminal Justice.	http://localhost:5173/topic/ai--ai-ethics-and-society--t-ai-in-criminal-justice	AI & Agents	AI Ethics and Society	pro	2026-01-01T00:00:01.000Z
ai--ai-ethics-and-society--t-ai-in-warfare	AI in Warfare	A short lesson to help you apply AI in Warfare.	http://localhost:5173/topic/ai--ai-ethics-and-society--t-ai-in-warfare	AI & Agents	AI Ethics and Society	pro	2026-01-01T00:00:01.000Z
ai--ai-ethics-and-society--t-ai-insurance-who-pays-when-ai-fails	AI Insurance: Who Pays When AI Fails?	A quick win: understand AI Insurance: Who Pays When AI Fails?.	http://localhost:5173/topic/ai--ai-ethics-and-society--t-ai-insurance-who-pays-when-ai-fails	AI & Agents	AI Ethics and Society	pro	2026-01-01T00:00:01.000Z
ai--ai-ethics-and-society--t-ai-safety-research	AI Safety Research	A quick, practical guide to AI Safety Research.	http://localhost:5173/topic/ai--ai-ethics-and-society--t-ai-safety-research	AI & Agents	AI Ethics and Society	pro	2026-01-01T00:00:01.000Z
ai--ai-ethics-and-society--t-auditing-ai-systems	Auditing AI Systems	A 1-minute de-risking session on Auditing AI Systems.	http://localhost:5173/topic/ai--ai-ethics-and-society--t-auditing-ai-systems	AI & Agents	AI Ethics and Society	pro	2026-01-01T00:00:01.000Z
ai--ai-ethics-and-society--t-children-s-data-and-ai-growing-up-tracked	Children's Data and AI: Growing Up Tracked	One-minute skill: Children's Data and AI: Growing Up Tracked.	http://localhost:5173/topic/ai--ai-ethics-and-society--t-children-s-data-and-ai-growing-up-tracked	AI & Agents	AI Ethics and Society	pro	2026-01-01T00:00:01.000Z
ai--ai-ethics-and-society--t-deepfakes-and-consent	Deepfakes and Consent	A quick, practical guide to Deepfakes and Consent.	http://localhost:5173/topic/ai--ai-ethics-and-society--t-deepfakes-and-consent	AI & Agents	AI Ethics and Society	pro	2026-01-01T00:00:01.000Z
ai--ai-ethics-and-society--t-defining-fairness-for-machines	Defining Fairness for Machines	A quick, practical guide to Defining Fairness for Machines.	http://localhost:5173/topic/ai--ai-ethics-and-society--t-defining-fairness-for-machines	AI & Agents	AI Ethics and Society	pro	2026-01-01T00:00:01.000Z
ai--ai-ethics-and-society--t-healthcare-ai-and-unequal-treatment	Healthcare AI and Unequal Treatment	A micro-lesson that makes Healthcare AI and Unequal Treatment usable.	http://localhost:5173/topic/ai--ai-ethics-and-society--t-healthcare-ai-and-unequal-treatment	AI & Agents	AI Ethics and Society	pro	2026-01-01T00:00:01.000Z
ai--ai-ethics-and-society--t-racial-bias-in-facial-recognition	Racial Bias in Facial Recognition	A micro-lesson that makes Racial Bias in Facial Recognition usable.	http://localhost:5173/topic/ai--ai-ethics-and-society--t-racial-bias-in-facial-recognition	AI & Agents	AI Ethics and Society	pro	2026-01-01T00:00:01.000Z
ai--ai-ethics-and-society--t-self-regulation-vs-government-oversight	Self-Regulation vs Government Oversight	A 60-second lesson on Self-Regulation vs Government Oversight.	http://localhost:5173/topic/ai--ai-ethics-and-society--t-self-regulation-vs-government-oversight	AI & Agents	AI Ethics and Society	pro	2026-01-01T00:00:01.000Z
ai--ai-ethics-and-society--t-surveillance-and-the-all-seeing-eye	Surveillance and the All-Seeing Eye	A micro-lesson that makes Surveillance and the All-Seeing Eye usable.	http://localhost:5173/topic/ai--ai-ethics-and-society--t-surveillance-and-the-all-seeing-eye	AI & Agents	AI Ethics and Society	free	2026-01-01T00:00:01.000Z
ai--ai-ethics-and-society--t-the-black-box-problem	The Black Box Problem	A 60-second lesson on The Black Box Problem.	http://localhost:5173/topic/ai--ai-ethics-and-society--t-the-black-box-problem	AI & Agents	AI Ethics and Society	pro	2026-01-01T00:00:01.000Z
ai--ai-ethics-and-society--t-the-digital-divide-and-ai-access	The Digital Divide and AI Access	A tiny lesson with a big payoff: The Digital Divide and AI Access.	http://localhost:5173/topic/ai--ai-ethics-and-society--t-the-digital-divide-and-ai-access	AI & Agents	AI Ethics and Society	pro	2026-01-01T00:00:01.000Z
ai--ai-ethics-and-society--t-the-eu-ai-act-a-global-first	The EU AI Act: A Global First	A micro-lesson that makes The EU AI Act: A Global First usable.	http://localhost:5173/topic/ai--ai-ethics-and-society--t-the-eu-ai-act-a-global-first	AI & Agents	AI Ethics and Society	free	2026-01-01T00:00:01.000Z
ai--ai-ethics-and-society--t-the-gig-economy-and-ai-management	The Gig Economy and AI Management	A quick, practical guide to The Gig Economy and AI Management.	http://localhost:5173/topic/ai--ai-ethics-and-society--t-the-gig-economy-and-ai-management	AI & Agents	AI Ethics and Society	pro	2026-01-01T00:00:01.000Z
ai--ai-ethics-and-society--t-the-problem-with-predictive-policing	The Problem with Predictive Policing	One-minute skill: The Problem with Predictive Policing.	http://localhost:5173/topic/ai--ai-ethics-and-society--t-the-problem-with-predictive-policing	AI & Agents	AI Ethics and Society	pro	2026-01-01T00:00:01.000Z
ai--ai-ethics-and-society--t-the-productivity-paradox	The Productivity Paradox	A quick win: understand The Productivity Paradox.	http://localhost:5173/topic/ai--ai-ethics-and-society--t-the-productivity-paradox	AI & Agents	AI Ethics and Society	pro	2026-01-01T00:00:01.000Z
ai--ai-ethics-and-society--t-universal-basic-income-and-ai	Universal Basic Income and AI	A micro-lesson that makes Universal Basic Income and AI usable.	http://localhost:5173/topic/ai--ai-ethics-and-society--t-universal-basic-income-and-ai	AI & Agents	AI Ethics and Society	pro	2026-01-01T00:00:01.000Z
ai--ai-ethics-and-society--t-when-ai-makes-a-mistake-who-is-responsible	When AI Makes a Mistake, Who Is Responsible?	A 1-minute de-risking session on When AI Makes a Mistake, Who Is Responsible?.	http://localhost:5173/topic/ai--ai-ethics-and-society--t-when-ai-makes-a-mistake-who-is-responsible	AI & Agents	AI Ethics and Society	free	2026-01-01T00:00:01.000Z
ai--ai-ethics-and-society--t-when-algorithms-discriminate	When Algorithms Discriminate	One-minute skill: When Algorithms Discriminate.	http://localhost:5173/topic/ai--ai-ethics-and-society--t-when-algorithms-discriminate	AI & Agents	AI Ethics and Society	free	2026-01-01T00:00:01.000Z
ai--ai-ethics-and-society--t-which-jobs-will-ai-replace	Which Jobs Will AI Replace?	A 60-second lesson on Which Jobs Will AI Replace?.	http://localhost:5173/topic/ai--ai-ethics-and-society--t-which-jobs-will-ai-replace	AI & Agents	AI Ethics and Society	free	2026-01-01T00:00:01.000Z
ai--ai-ethics-and-society--t-whistleblowers-speaking-up-about-ai-harm	Whistleblowers: Speaking Up About AI Harm	A 1-minute de-risking session on Whistleblowers: Speaking Up About AI Harm.	http://localhost:5173/topic/ai--ai-ethics-and-society--t-whistleblowers-speaking-up-about-ai-harm	AI & Agents	AI Ethics and Society	pro	2026-01-01T00:00:01.000Z
ai--ai-ethics-and-society--t-who-controls-the-foundation-models	Who Controls the Foundation Models?	A tiny lesson with a big payoff: Who Controls the Foundation Models?.	http://localhost:5173/topic/ai--ai-ethics-and-society--t-who-controls-the-foundation-models	AI & Agents	AI Ethics and Society	free	2026-01-01T00:00:01.000Z
ai--ai-ethics-and-society--t-your-data-is-the-product	Your Data Is the Product	A micro-lesson that makes Your Data Is the Product usable.	http://localhost:5173/topic/ai--ai-ethics-and-society--t-your-data-is-the-product	AI & Agents	AI Ethics and Society	pro	2026-01-01T00:00:01.000Z
ai--ai-ethics-and-society--t-your-role-in-shaping-ai-s-future	Your Role in Shaping AI's Future	One-minute skill: Your Role in Shaping AI's Future.	http://localhost:5173/topic/ai--ai-ethics-and-society--t-your-role-in-shaping-ai-s-future	AI & Agents	AI Ethics and Society	pro	2026-01-01T00:00:01.000Z
ai--ai-in-everyday-life--t-ai-at-the-airport	AI at the Airport	A short lesson to help you apply AI at the Airport.	http://localhost:5173/topic/ai--ai-in-everyday-life--t-ai-at-the-airport	AI & Agents	AI in Everyday Life	pro	2026-01-01T00:00:01.000Z
ai--ai-in-everyday-life--t-ai-in-drug-discovery	AI in Drug Discovery	A micro-lesson that makes AI in Drug Discovery usable.	http://localhost:5173/topic/ai--ai-in-everyday-life--t-ai-in-drug-discovery	AI & Agents	AI in Everyday Life	pro	2026-01-01T00:00:01.000Z
ai--ai-in-everyday-life--t-ai-in-video-games	AI in Video Games	A 1-minute de-risking session on AI in Video Games.	http://localhost:5173/topic/ai--ai-in-everyday-life--t-ai-in-video-games	AI & Agents	AI in Everyday Life	pro	2026-01-01T00:00:01.000Z
ai--ai-in-everyday-life--t-ai-music-playlists-that-match-your-mood	AI Music: Playlists That Match Your Mood	A short lesson to help you apply AI Music: Playlists That Match Your Mood.	http://localhost:5173/topic/ai--ai-in-everyday-life--t-ai-music-playlists-that-match-your-mood	AI & Agents	AI in Everyday Life	pro	2026-01-01T00:00:01.000Z
ai--ai-in-everyday-life--t-ai-pet-feeders-and-animal-care	AI Pet Feeders and Animal Care	A micro-lesson that makes AI Pet Feeders and Animal Care usable.	http://localhost:5173/topic/ai--ai-in-everyday-life--t-ai-pet-feeders-and-animal-care	AI & Agents	AI in Everyday Life	pro	2026-01-01T00:00:01.000Z
ai--ai-in-everyday-life--t-ai-powered-fraud-detection	AI-Powered Fraud Detection	A 60-second lesson on AI-Powered Fraud Detection.	http://localhost:5173/topic/ai--ai-in-everyday-life--t-ai-powered-fraud-detection	AI & Agents	AI in Everyday Life	pro	2026-01-01T00:00:01.000Z
ai--ai-in-everyday-life--t-ai-powered-security-cameras	AI-Powered Security Cameras	Learn AI-Powered Security Cameras in one minute.	http://localhost:5173/topic/ai--ai-in-everyday-life--t-ai-powered-security-cameras	AI & Agents	AI in Everyday Life	pro	2026-01-01T00:00:01.000Z
ai--ai-in-everyday-life--t-ai-returns-prediction-before-you-send-it-back	AI Returns Prediction: Before You Send It Back	One-minute skill: AI Returns Prediction: Before You Send It Back.	http://localhost:5173/topic/ai--ai-in-everyday-life--t-ai-returns-prediction-before-you-send-it-back	AI & Agents	AI in Everyday Life	pro	2026-01-01T00:00:01.000Z
ai--ai-in-everyday-life--t-ai-sleep-tracking-watching-you-dream	AI Sleep Tracking: Watching You Dream	A 60-second lesson on AI Sleep Tracking: Watching You Dream.	http://localhost:5173/topic/ai--ai-in-everyday-life--t-ai-sleep-tracking-watching-you-dream	AI & Agents	AI in Everyday Life	pro	2026-01-01T00:00:01.000Z
ai--ai-in-everyday-life--t-ai-that-reads-medical-scans	AI That Reads Medical Scans	One-minute skill: AI That Reads Medical Scans.	http://localhost:5173/topic/ai--ai-in-everyday-life--t-ai-that-reads-medical-scans	AI & Agents	AI in Everyday Life	free	2026-01-01T00:00:01.000Z
ai--ai-in-everyday-life--t-ai-translation-earbuds-real-time-understanding	AI Translation Earbuds: Real-Time Understanding	A tiny lesson with a big payoff: AI Translation Earbuds: Real-Time Understanding.	http://localhost:5173/topic/ai--ai-in-everyday-life--t-ai-translation-earbuds-real-time-understanding	AI & Agents	AI in Everyday Life	pro	2026-01-01T00:00:01.000Z
ai--ai-in-everyday-life--t-chatbots-that-handle-customer-service	Chatbots That Handle Customer Service	A micro-lesson that makes Chatbots That Handle Customer Service usable.	http://localhost:5173/topic/ai--ai-in-everyday-life--t-chatbots-that-handle-customer-service	AI & Agents	AI in Everyday Life	pro	2026-01-01T00:00:01.000Z
ai--ai-in-everyday-life--t-deepfakes-and-synthetic-media	Deepfakes and Synthetic Media	A tiny lesson with a big payoff: Deepfakes and Synthetic Media.	http://localhost:5173/topic/ai--ai-in-everyday-life--t-deepfakes-and-synthetic-media	AI & Agents	AI in Everyday Life	pro	2026-01-01T00:00:01.000Z
ai--ai-in-everyday-life--t-dynamic-pricing-ai-sets-the-price	Dynamic Pricing: AI Sets the Price	One-minute skill: Dynamic Pricing: AI Sets the Price.	http://localhost:5173/topic/ai--ai-in-everyday-life--t-dynamic-pricing-ai-sets-the-price	AI & Agents	AI in Everyday Life	pro	2026-01-01T00:00:01.000Z
ai--ai-in-everyday-life--t-face-unlock-and-biometric-ai	Face Unlock and Biometric AI	A quick, practical guide to Face Unlock and Biometric AI.	http://localhost:5173/topic/ai--ai-in-everyday-life--t-face-unlock-and-biometric-ai	AI & Agents	AI in Everyday Life	pro	2026-01-01T00:00:01.000Z
ai--ai-in-everyday-life--t-fitness-trackers-and-predictive-health	Fitness Trackers and Predictive Health	A tiny lesson with a big payoff: Fitness Trackers and Predictive Health.	http://localhost:5173/topic/ai--ai-in-everyday-life--t-fitness-trackers-and-predictive-health	AI & Agents	AI in Everyday Life	pro	2026-01-01T00:00:01.000Z
ai--ai-in-everyday-life--t-how-autocorrect-reads-your-mind	How Autocorrect Reads Your Mind	A tiny lesson with a big payoff: How Autocorrect Reads Your Mind.	http://localhost:5173/topic/ai--ai-in-everyday-life--t-how-autocorrect-reads-your-mind	AI & Agents	AI in Everyday Life	free	2026-01-01T00:00:01.000Z
ai--ai-in-everyday-life--t-how-gps-navigation-uses-ai	How GPS Navigation Uses AI	A micro-lesson that makes How GPS Navigation Uses AI usable.	http://localhost:5173/topic/ai--ai-in-everyday-life--t-how-gps-navigation-uses-ai	AI & Agents	AI in Everyday Life	free	2026-01-01T00:00:01.000Z
ai--ai-in-everyday-life--t-how-netflix-picks-your-next-show	How Netflix Picks Your Next Show	A short lesson to help you apply How Netflix Picks Your Next Show.	http://localhost:5173/topic/ai--ai-in-everyday-life--t-how-netflix-picks-your-next-show	AI & Agents	AI in Everyday Life	free	2026-01-01T00:00:01.000Z
ai--ai-in-everyday-life--t-how-photo-apps-sort-your-memories	How Photo Apps Sort Your Memories	One-minute skill: How Photo Apps Sort Your Memories.	http://localhost:5173/topic/ai--ai-in-everyday-life--t-how-photo-apps-sort-your-memories	AI & Agents	AI in Everyday Life	pro	2026-01-01T00:00:01.000Z
ai--ai-in-everyday-life--t-how-recommendation-engines-know-what-you-want	How Recommendation Engines Know What You Want	A 60-second lesson on How Recommendation Engines Know What You Want.	http://localhost:5173/topic/ai--ai-in-everyday-life--t-how-recommendation-engines-know-what-you-want	AI & Agents	AI in Everyday Life	free	2026-01-01T00:00:01.000Z
ai--ai-in-everyday-life--t-how-smart-speakers-understand-accents	How Smart Speakers Understand Accents	A 60-second lesson on How Smart Speakers Understand Accents.	http://localhost:5173/topic/ai--ai-in-everyday-life--t-how-smart-speakers-understand-accents	AI & Agents	AI in Everyday Life	pro	2026-01-01T00:00:01.000Z
ai--ai-in-everyday-life--t-mental-health-chatbots	Mental Health Chatbots	A tiny lesson with a big payoff: Mental Health Chatbots.	http://localhost:5173/topic/ai--ai-in-everyday-life--t-mental-health-chatbots	AI & Agents	AI in Everyday Life	pro	2026-01-01T00:00:01.000Z
ai--ai-in-everyday-life--t-real-time-translation-in-your-hand	Real-Time Translation in Your Hand	A micro-lesson that makes Real-Time Translation in Your Hand usable.	http://localhost:5173/topic/ai--ai-in-everyday-life--t-real-time-translation-in-your-hand	AI & Agents	AI in Everyday Life	pro	2026-01-01T00:00:01.000Z
ai--ai-in-everyday-life--t-ride-sharing-algorithms	Ride-Sharing Algorithms	A quick, practical guide to Ride-Sharing Algorithms.	http://localhost:5173/topic/ai--ai-in-everyday-life--t-ride-sharing-algorithms	AI & Agents	AI in Everyday Life	pro	2026-01-01T00:00:01.000Z
ai--ai-in-everyday-life--t-robot-vacuums-and-spatial-intelligence	Robot Vacuums and Spatial Intelligence	A 1-minute de-risking session on Robot Vacuums and Spatial Intelligence.	http://localhost:5173/topic/ai--ai-in-everyday-life--t-robot-vacuums-and-spatial-intelligence	AI & Agents	AI in Everyday Life	pro	2026-01-01T00:00:01.000Z
ai--ai-in-everyday-life--t-self-driving-cars-how-close-are-we	Self-Driving Cars: How Close Are We?	A quick, practical guide to Self-Driving Cars: How Close Are We?.	http://localhost:5173/topic/ai--ai-in-everyday-life--t-self-driving-cars-how-close-are-we	AI & Agents	AI in Everyday Life	pro	2026-01-01T00:00:01.000Z
ai--ai-in-everyday-life--t-smart-thermostats-that-learn-your-schedule	Smart Thermostats That Learn Your Schedule	Learn Smart Thermostats That Learn Your Schedule in one minute.	http://localhost:5173/topic/ai--ai-in-everyday-life--t-smart-thermostats-that-learn-your-schedule	AI & Agents	AI in Everyday Life	free	2026-01-01T00:00:01.000Z
ai--ai-in-everyday-life--t-social-media-feeds-the-ai-curator	Social Media Feeds: The AI Curator	A 1-minute de-risking session on Social Media Feeds: The AI Curator.	http://localhost:5173/topic/ai--ai-in-everyday-life--t-social-media-feeds-the-ai-curator	AI & Agents	AI in Everyday Life	pro	2026-01-01T00:00:01.000Z
ai--ai-in-everyday-life--t-voice-assistants-and-how-they-listen	Voice Assistants and How They Listen	A 1-minute de-risking session on Voice Assistants and How They Listen.	http://localhost:5173/topic/ai--ai-in-everyday-life--t-voice-assistants-and-how-they-listen	AI & Agents	AI in Everyday Life	pro	2026-01-01T00:00:01.000Z
ai--ai-myths-and-misconceptions--t-ai-arms-race-military-myths	AI Arms Race: Military Myths	A quick, practical guide to AI Arms Race: Military Myths.	http://localhost:5173/topic/ai--ai-myths-and-misconceptions--t-ai-arms-race-military-myths	AI & Agents	AI Myths and Misconceptions	pro	2026-01-01T00:00:01.000Z
ai--ai-myths-and-misconceptions--t-ai-bias-reflecting-our-worst	AI Bias: Reflecting Our Worst	One-minute skill: AI Bias: Reflecting Our Worst.	http://localhost:5173/topic/ai--ai-myths-and-misconceptions--t-ai-bias-reflecting-our-worst	AI & Agents	AI Myths and Misconceptions	pro	2026-01-01T00:00:01.000Z
ai--ai-myths-and-misconceptions--t-ai-can-t-do-common-sense	AI Can't Do Common Sense	A fast breakdown of AI Can't Do Common Sense for builders.	http://localhost:5173/topic/ai--ai-myths-and-misconceptions--t-ai-can-t-do-common-sense	AI & Agents	AI Myths and Misconceptions	pro	2026-01-01T00:00:01.000Z
